CBSA_CODE,CBSA_TITLE,AREA_TYPE,CSA_TITLE,COUNTY,STATE_NAME,IS_CENTRAL
33060,"Miami, OK",Micro,"Joplin-Miami, MO-OK",Ottawa County,Oklahoma,1
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Metro,"Miami-Port St. Lucie-Fort Lauderdale, FL",Broward County,Florida,1
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Metro,"Miami-Port St. Lucie-Fort Lauderdale, FL",Miami-Dade County,Florida,1
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Metro,"Miami-Port St. Lucie-Fort Lauderdale, FL",Palm Beach County,Florida,1
33140,"Michigan City-La Porte, IN",Metro,"Chicago-Naperville, IL-IN-WI",LaPorte County,Indiana,1
33180,"Middlesborough, KY",Micro,,Bell County,Kentucky,1
33220,"Midland, MI",Metro,"Saginaw-Midland-Bay City, MI",Midland County,Michigan,1
33260,"Midland, TX",Metro,"Midland-Odessa, TX",Martin County,Texas,0
33260,"Midland, TX",Metro,"Midland-Odessa, TX",Midland County,Texas,1
33300,"Milledgeville, GA",Micro,,Baldwin County,Georgia,1
33300,"Milledgeville, GA",Micro,,Hancock County,Georgia,0
33340,"Milwaukee-Waukesha, WI",Metro,"Milwaukee-Racine-Waukesha, WI",Milwaukee County,Wisconsin,1
33340,"Milwaukee-Waukesha, WI",Metro,"Milwaukee-Racine-Waukesha, WI",Ozaukee County,Wisconsin,1
33340,"Milwaukee-Waukesha, WI",Metro,"Milwaukee-Racine-Waukesha, WI",Washington County,Wisconsin,0
33340,"Milwaukee-Waukesha, WI",Metro,"Milwaukee-Racine-Waukesha, WI",Waukesha County,Wisconsin,1
33380,"Minden, LA",Micro,"Shreveport-Bossier City-Minden, LA",Webster Parish,Louisiana,1
33420,"Mineral Wells, TX",Micro,"Dallas-Fort Worth, TX-OK",Palo Pinto County,Texas,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Anoka County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Carver County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Chisago County,Minnesota,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Dakota County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Hennepin County,Minnesota,1
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Isanti County,Minnesota,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Le Sueur County,Minnesota,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Mille Lacs County,Minnesota,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metro,"Minneapolis-St. Paul, MN-WI",Ramsey County,Minnesota,1
